iter	Passed	Remaining
485	769091	15055837
486	770592	15052654
487	772136	15050329
488	773596	15046380
489	775152	15044288
490	776740	15042812
491	778478	15044261
492	780164	15044674
493	781955	15047107
494	783554	15045830
495	785684	15054729
496	787234	15052497
497	788753	15049668
498	790186	15045220
499	792366	15054961
500	794006	15054435
501	795501	15051142
502	797282	15053265
503	798770	15049842
504	800007	15041728
505	801429	15037090
506	802872	15032883
507	804271	15027838
508	805789	15025053
509	807238	15020973
510	808703	15017189
511	810252	15014985
512	811617	15009393
513	813057	15005173
514	814587	15002654
515	816072	14999291
516	817531	14995454
517	819611	15003004
518	821161	15000841
519	822571	14996117
520	824023	14992162
521	825487	14988441
522	827007	14985761
523	828583	14984081
524	830185	14982872
525	831462	14975808
526	832918	14971979
527	834476	14970001
528	835988	14967196
529	837741	14968702
530	839397	14968464
531	841670	14979212
532	843156	14975919
533	844504	14970194
534	846037	14967752
535	847500	14964070
536	848930	14959839
537	850441	14957022
538	851913	14953524
539	853442	14951040
540	854898	14947289
541	856399	14944333
542	857881	14941038
543	859313	14936896
544	860808	14933838
545	862142	14928012
546	863910	14929696
547	865377	14926183
548	866852	14922809
549	868510	14922592
550	870021	14919848
551	871570	14917742
552	872958	14912913
553	874437	14909638
554	876044	14908545
555	877561	14905923
556	878982	14901678
557	880911	14906025
558	882433	14903501
559	883919	14900360
560	885448	14897939
561	887016	14896195
562	888526	14893478
563	890041	14890828
564	891561	14888281
565	892928	14883194
566	894381	14879539
567	896408	14885429
568	897989	14883907
569	899387	14879342
570	900926	14877122
571	902663	14878173
572	904155	14875176
573	905666	14872503
574	907125	14868969
575	908724	14867741
576	910361	14867137
577	912884	14880971
578	914402	14878390
579	916397	14883562
580	917921	14881069
581	919363	14877267
582	921221	14880169
583	922649	14876145
584	924606	14880625
585	926007	14876169
586	927521	14873532
587	928966	14869789
588	930445	14866592
589	932172	14867367
590	933819	14866855
591	935355	14864564
592	936740	14859892
593	938243	14857094
594	940593	14867702
595	942032	14863884
596	943497	14860485
597	945097	14859211
598	946554	14855697
599	948000	14852013
600	950308	14861809
601	951783	14858566
602	953310	14856146
603	954766	14852624
604	956443	14852539
605	957872	14848607
606	959280	14844352
607	960840	14842450
608	962557	14842989
609	964051	14840077
610	965572	14837580
611	967047	14834380
612	968525	14831237
613	969982	14827777
614	971420	14824032
615	972885	14820709
616	974412	14818330
617	975951	14816147
618	977281	14810785
619	978912	14810004
620	980478	14808223
621	981934	14804797
622	983460	14802414
623	985099	14801749
624	986507	14797617
625	988715	14805467
626	990225	14802842
627	991737	14800253
628	993801	14805909
629	995245	14802307
630	996772	14799932
631	998244	14796758
632	999685	14793132
633	1001225	14790973
634	1002710	14788013
635	1004344	14787237
636	1006196	14789665
637	1008280	14795487
638	1010327	14800743
639	1011948	14799740
640	1013840	14802699
641	1015345	14800010
642	1016837	14797115
643	1018619	14798452
644	1020231	14797311
645	1021640	14793221
646	1023175	14790975
647	1024578	14786824
648	1025952	14782246
649	1027423	14779088
650	1028953	14776786
651	1030446	14773954
652	1031956	14771361
653	1033490	14769120
654	1035118	14768223
655	1036421	14762690
656	1037824	14758589
657	1039278	14755227
658	1041105	14757159
659	1042805	14757282
660	1043718	14746267
661	1045034	14740983
662	1046481	14737552
663	1048368	14740309
664	1049931	14738507
665	1052286	14747815
666	1053866	14746233
667	1055334	14743087
668	1056981	14742448
669	1058437	14739135
670	1060128	14739097
671	1061755	14738182
672	1063089	14733181
673	1064542	14729863
674	1066120	14728256
675	1067610	14725449
676	1069107	14722733
677	1070571	14719574
678	1072159	14718115
679	1074236	14723356
680	1075850	14722248
681	1077264	14718404
682	1078907	14717682
683	1080541	14716843
684	1082071	14714597
685	1083482	14710727
686	1085126	14710014
687	1086634	14707469
688	1088054	14703737
689	1089536	14700844
690	1091236	14700892
691	1092735	14698239
692	1094242	14695693
693	1095688	14692336
694	1097159	14689314
695	1098570	14685490
696	1100216	14684806
697	1101966	14685514
698	1103501	14683358
699	1105182	14683138
700	1106685	14680555
701	1108278	14679168
702	1109731	14675923
703	1111322	14674513
704	1112831	14672018
705	1114531	14672035
706	1115986	14668829
707	1118589	14680693
708	1120312	14680986
709	1121801	14678213
710	1123406	14676972
711	1124540	14669564
712	1125967	14665999
713	1127492	14663720
714	1129135	14662972
715	1131017	14665311
716	1132522	14662768
717	1134022	14660160
718	1135504	14657322
719	1136981	14654424
720	1138505	14652145
721	1140171	14651680
722	1142059	14654056
723	1143674	14652939
724	1145098	14649362
725	1146707	14648155
726	1148336	14647208
727	1149795	14644092
728	1151228	14640656
729	1152797	14638948
730	1154189	14634993
731	1156078	14637347
732	1157590	14634916
733	1159131	14632849
734	1160645	14630453
735	1162209	14628675
736	1163634	14625161
737	1165146	14622745
738	1166605	14619672
739	1168065	14616600
740	1169657	14615188
741	1171310	14614551
742	1173009	14614467
743	1174406	14610621
744	1175894	14607928
745	1177461	14606208
746	1178921	14603157
747	1180463	14601135
748	1181878	14597544
749	1183440	14595761
750	1185063	14594744
751	1186602	14592683
752	1188053	14589554
753	1189603	14587625
754	1191199	14586279
755	1192675	14583452
756	1194170	14580866
757	1195686	14578547
758	1197435	14579049
759	1199322	14581231
760	1200973	14580549
761	1202322	14576191
762	1203895	14574553
763	1205398	14572064
764	1206988	14570639
765	1208567	14569081
766	1210076	14566672
767	1211743	14566165
768	1213265	14563925
769	1214643	14559949
770	1216144	14557456
771	1217694	14555555
772	1219281	14554089
773	1220714	14550786
774	1222264	14548884
775	1223736	14546062
776	1225603	14547935
777	1227119	14545628
778	1228633	14543296
779	1230091	14540313
780	1231594	14537867
781	1233244	14537139
782	1234728	14534474
783	1236232	14532044
784	1237620	14528244
785	1239110	14525649
786	1240601	14523073
787	1242093	14520519
788	1243548	14517525
789	1244956	14513981
790	1246362	14510434
791	1247705	14506154
792	1249218	14503847
793	1250747	14501742
794	1252266	14499514
795	1253734	14496701
796	1255299	14495006
797	1256747	14491966
798	1258266	14489751
799	1259837	14488126
800	1261382	14486215
801	1262844	14483345
802	1264834	14486533
803	1266211	14482687
804	1268253	14486452
805	1270415	14491558
806	1271804	14487854
807	1273830	14491395
808	1275515	14491050
809	1277151	14490146
810	1278666	14487876
811	1280234	14486198
812	1281669	14483018
813	1283205	14480990
814	1284959	14481418
815	1286435	14478704
816	1287889	14475756
817	1289301	14472332
818	1290706	14468835
819	1292318	14467660
820	1294472	14472548
821	1296119	14471757
822	1297673	14469929
823	1299026	14465854
824	1300521	14463378
825	1301937	14460013
826	1303411	14457307
827	1305206	14458152
828	1306767	14456411
829	1308289	14454232
830	1309735	14451218
831	1311576	14452561
832	1313132	14450766
833	1314803	14450228
834	1316522	14450209
835	1318026	14447842
836	1319449	14444581
837	1321577	14449036
838	1322922	14444931
839	1324724	14445808
840	1326803	14449697
841	1328503	14449447
842	1330027	14447290
843	1331655	14446251
844	1333333	14445764
845	1334849	14443517
846	1336553	14443299
847	1338370	14444297
848	1339710	14440156
849	1341252	14438191
850	1343187	14440449
851	1344689	14438054
852	1345960	14433178
853	1347436	14430513
854	1348945	14428199
855	1350516	14426544
856	1352102	14425052
857	1353614	14422781
858	1355059	14419791
859	1356715	14419050
860	1358249	14417009
861	1359828	14415447
862	1361374	14413532
863	1363416	14416868
864	1364834	14413600
865	1366334	14411201
866	1367870	14409180
867	1369440	14407525
868	1371124	14407065
869	1373183	14410532
870	1375057	14412053
871	1376450	14408532
872	1378145	14408166
873	1379734	14406699
874	1381308	14405074
875	1382775	14402329
876	1384296	14400152
877	1385662	14396370
878	1387305	14395465
879	1389329	14398501
880	1391145	14399380
881	1392622	14396751
882	1394035	14393456
883	1396218	14398107
884	1397470	14393156
885	1399184	14392967
886	1400323	14386865
887	1401850	14384757
888	1403674	14385695
889	1405264	14384226
890	1406892	14383146
891	1408334	14380165
892	1409648	14375887
893	1411130	14373325
894	1412633	14370976
895	1414549	14372833
896	1416952	14379615
897	1418585	14378580
898	1420114	14376483
899	1421798	14375961
900	1423565	14376272
901	1425246	14375711
902	1426918	14375054
903	1428879	14377307
904	1430445	14375584
905	1432025	14373997
906	1433379	14370141
907	1435399	14372961
908	1436886	14370449
909	1438443	14368631
910	1440088	14367688
911	1441792	14367331
912	1443363	14365660
913	1444835	14362989
914	1446329	14360547
915	1447764	14357529
916	1449235	14354856
917	1450937	14354483
918	1452476	14352489
919	1454033	14350682
920	1455692	14349870
921	1457194	14347521
922	1458758	14345770
923	1461180	14352459
924	1462835	14351605
925	1464389	14349756
926	1466381	14352186
927	1468024	14351203
928	1469535	14348926
929	1470997	14346175
930	1473026	14348951
931	1474332	14344689
932	1476026	14344197
933	1477577	14342311
934	1479187	14340998
935	1480670	14338456
936	1482641	14340643
937	1484166	14338505
938	1485562	14335128
939	1487011	14332258
940	1488489	14329681
941	1490024	14327643
942	1491844	14328352
943	1493664	14329048
944	1495217	14327187
945	1496865	14326232
946	1498445	14324629
947	1499913	14321955
948	1502014	14325329
949	1503678	14324516
950	1505213	14322477
951	1506865	14321553
952	1508383	14319356
953	1510017	14318253
954	1511686	14317489
955	1513222	14315460
956	1514635	14312272
957	1516365	14312082
958	1517912	14310160
959	1519513	14308748
960	1521014	14306398
961	1522585	14304709
962	1524129	14302756
963	1525536	14299528
964	1527141	14298154
965	1528651	14295902
966	1530199	14293995
967	1532076	14295159
968	1533541	14292480
969	1535070	14290402
970	1537364	14295434
971	1539055	14294846
972	1540612	14293021
973	1542101	14290562
974	1543774	14289810
975	1545442	14289012
976	1547075	14287887
977	1548680	14286502
978	1550590	14287922
979	1552575	14290033
980	1554771	14294068
981	1556616	14294878
982	1558105	14292407
983	1559811	14291927
984	1561347	14289894
985	1563055	14289433
986	1565003	14291158
987	1566591	14289593
988	1568526	14291196
989	1570213	14290529
990	1572543	14295708
991	1574184	14294611
992	1575988	14294997
993	1577616	14293780
994	1579137	14291592
995	1580780	14290513
996	1582777	14292627
997	1584567	14292863
998	1586095	14290732
999	1587812	14290308
1000	1589497	14289598
1001	1591022	14287442
1002	1592717	14286821
1003	1594717	14288923
1004	1596375	14287953
1005	1598024	14286909
1006	1600174	14290332
1007	1601690	14288094
1008	1603270	14286430
1009	1605245	14288273
1010	1607062	14288707
1011	1608919	14289492
1012	1610663	14289271
1013	1612387	14288866
1014	1614065	14288058
1015	1615980	14289336
1016	1617505	14287172
1017	1619117	14285772
1018	1621265	14289093
1019	1623144	14290038
1020	1624646	14287659
1021	1626345	14287018
1022	1628009	14286065
1023	1629875	14286876
1024	1631494	14285528
1025	1633024	14283394
1026	1635321	14287962
1027	1637175	14288658
1028	1638737	14286795
1029	1640390	14285733
1030	1642942	14292480
1031	1644893	14293993
1032	1646590	14293299
1033	1648103	14290999
1034	1649564	14288260
1035	1651383	14288611
1036	1652960	14286870
1037	1654451	14284391
1038	1656127	14283498
1039	1658212	14286137
1040	1660191	14287857
1041	1662406	14291592
1042	1664405	14293461
1043	1665955	14291469
1044	1667564	14289987
1045	1669135	14288186
1046	1670661	14285991
1047	1672305	14284804
1048	1673848	14282758
1049	1675500	14281649
1050	1677277	14281594
1051	1678753	14278975
1052	1680325	14277179
1053	1681899	14275397
1054	1683683	14275403
1055	1685706	14277422
1056	1687532	14277772
1057	1689048	14275488
1058	1690630	14273777
1059	1692187	14271847
1060	1693860	14270896
1061	1695517	14269808
1062	1696880	14266247
1063	1698443	14264368
1064	1700087	14263171
1065	1701513	14260149
1066	1703166	14259027
1067	1704688	14256811
1068	1706157	14254159
1069	1708033	14254897
1070	1710189	14257964
1071	1711861	14256993
1072	1713442	14255267
1073	1715109	14254255
1074	1716444	14250478
1075	1717684	14245927
1076	1719318	14244643
1077	1720803	14242122
1078	1722303	14239729
1079	1724055	14239421
1080	1725813	14239159
1081	1727258	14236312
1082	1729599	14240845
1083	1731288	14240011
1084	1732965	14239064
1085	1735381	14244191
1086	1737932	14250409
1087	1739582	14249227
1088	1741153	14247402
1089	1742741	14245709
1090	1744282	14243642
1091	1746232	14244910
1092	1748085	14245381
1093	1750027	14246563
1094	1751690	14245482
1095	1753342	14244307
1096	1755448	14246820
1097	1756986	14244710
1098	1758589	14243133
1099	1760486	14243937
1100	1762072	14242222
1101	1763623	14240217
1102	1765180	14238269
1103	1766874	14237425
1104	1768602	14236850
1105	1770515	14237761
1106	1772311	14237731
1107	1774003	14236860
1108	1775829	14237057
1109	1777676	14237426
1110	1779477	14237420
1111	1781374	14238182
1112	1783320	14239328
1113	1785127	14239353
1114	1786489	14235839
1115	1788180	14234942
1116	1789886	14234166
1117	1791584	14233318
1118	1793389	14233323
1119	1794927	14231211
1120	1796652	14230578
1121	1798922	14234254
1122	1801217	14238122
1123	1803072	14238495
1124	1804875	14238461
1125	1806732	14238848
1126	1808301	14236965
1127	1810175	14237482
1128	1811702	14235266
1129	1813472	14234960
1130	1815195	14234276
1131	1817417	14237506
1132	1819266	14237810
1133	1820937	14236712
1134	1822828	14237337
1135	1824739	14238107
1136	1826311	14236232
1137	1827872	14234279
1138	1829325	14231479
1139	1830931	14229870
1140	1833088	14232544
1141	1835237	14235146
1142	1836948	14234342
1143	1838676	14233667
1144	1840272	14231977
1145	1841845	14230105
1146	1843430	14228324
1147	1845153	14227610
1148	1847034	14228113
1149	1848875	14228304
1150	1850570	14227364
1151	1852294	14226649
1152	1854117	14226691
1153	1855821	14225820
1154	1857342	14223546
1155	1858801	14220793
1156	1860552	14220281
1157	1862203	14218998
1158	1863785	14217190
1159	1865409	14215706
1160	1867243	14215816
1161	1868719	14213202
1162	1870427	14212356
1163	1871984	14210354
1164	1873685	14209448
1165	1875317	14208019
1166	1876888	14206128
1167	1879152	14209480
1168	1880782	14208032
1169	1882318	14205876
1170	1883845	14203646
1171	1884912	14197961
1172	1887463	14203443
1173	1889065	14201781
1174	1890731	14200599
1175	1892706	14201737
1176	1894448	14201120
1177	1896201	14200583
1178	1897725	14198333
1179	1899271	14196249
1180	1900981	14195388
1181	1903458	14200249
1182	1905090	14198801
1183	1906798	14197918
1184	1908586	14197625
1185	1910372	14197319
1186	1912084	14196458
1187	1913953	14196766
1188	1915457	14194358
1189	1917285	14194358
1190	1919015	14193624
1191	1920475	14190894
1192	1922144	14189715
1193	1923760	14188136
1194	1925367	14186496
1195	1926976	14184865
1196	1928318	14181279
1197	1929931	14179682
1198	1931447	14177373
1199	1933083	14175947
1200	1934944	14176168
1201	1936826	14176540
1202	1939056	14179451
1203	1940650	14177706
1204	1942507	14177887
1205	1944042	14175715
1206	1945660	14174142
1207	1947034	14170803
1208	1948597	14168835
1209	1950098	14166414
1210	1951795	14165426
1211	1953331	14163267
1212	1954846	14160955
1213	1956163	14157212
1214	1958291	14159333
1215	1959829	14157188
1216	1961323	14154724
1217	1962867	14152627
1218	1964385	14150342
1219	1965758	14147018
1220	1967295	14144869
1221	1968770	14142283
1222	1970217	14139490
1223	1971800	14137681
1224	1973436	14136246
1225	1975062	14134749
1226	1976637	14132876
1227	1978294	14131597
1228	1979814	14129336
1229	1981505	14128293
1230	1982882	14125016
1231	1984433	14122978
1232	1985943	14120655
1233	1988059	14122636
1234	1989617	14120648
1235	1991146	14118455
1236	1992704	14116469
1237	1994473	14115977
1238	1996229	14115386
1239	1997791	14113427
1240	1999667	14113685
1241	2001224	14111693
1242	2002838	14110101
1243	2004309	14107501
1244	2005758	14104750
1245	2007837	14106427
1246	2009330	14103984
1247	2010866	14101845
1248	2012278	14098836
1249	2013915	14097408
1250	2015588	14096233
1251	2017870	14099306
1252	2019594	14098475
1253	2021333	14097753
1254	2023050	14096872
1255	2024549	14094476
1256	2026050	14092089
1257	2027665	14090503
1258	2029212	14088438
1259	2030959	14087764
1260	2033204	14090544
1261	2034599	14087424
1262	2036240	14086010
1263	2037845	14084347
1264	2039523	14083190
1265	2041148	14081668
1266	2042670	14079433
1267	2044852	14081747
1268	2046412	14079769
1269	2047732	14076147
1270	2049379	14074773
1271	2050963	14072961
1272	2053057	14074654
1273	2054743	14073538
1274	2056298	14071533
1275	2057870	14069643
1276	2059227	14066279
1277	2060651	14063383
1278	2062224	14061499
1279	2064278	14062897
1280	2066093	14062662
1281	2067808	14061743
1282	2069524	14060828
1283	2072125	14065920
1284	2074695	14070794
1285	2076250	14068778
1286	2077664	14065807
1287	2079339	14064600
1288	2080969	14063091
1289	2082609	14061647
1290	2085081	14065818
1291	2087182	14067477
1292	2089265	14069011
1293	2091714	14073002
1294	2093725	14074040
1295	2095826	14075671
1296	2097606	14075152
1297	2099279	14073908
1298	2101270	14074790
1299	2103002	14073938
1300	2104583	14072078
1301	2106144	14070078
1302	2107702	14068067
1303	2109449	14067307
1304	2111331	14067453
1305	2113129	14067036
1306	2114645	14064739
1307	2116482	14064576
1308	2118295	14064254
1309	2120012	14063292
1310	2121710	14062197
1311	2123577	14062229
1312	2125722	14064089
1313	2127473	14063342
1314	2129047	14061424
1315	2130835	14060921
1316	2132713	14061011
1317	2134676	14061655
1318	2136476	14061222
1319	2138110	14059694
1320	2139788	14058456
1321	2141756	14059126
1322	2143551	14058650
1323	2145031	14056115
1324	2146879	14055985
1325	2148830	14056530
1326	2150379	14054436
1327	2152121	14053610
1328	2153827	14052550
1329	2155459	14051001
1330	2157014	14048952
1331	2158812	14048485
1332	2160506	14047341
1333	2162157	14045918
1334	2164052	14046077
1335	2165948	14046239
1336	2167446	14043819
1337	2169170	14042866
1338	2170968	14042387
1339	2172447	14039846
1340	2174160	14038820
1341	2176187	14039816
1342	2177788	14038058
1343	2179395	14036347
1344	2180936	14034205
1345	2182674	14033332
1346	2184451	14032708
1347	2186207	14031948
1348	2188685	14035820
1349	2190578	14035928
1350	2192456	14035942
1351	2194345	14036021
1352	2196025	14034764
1353	2198262	14037055
1354	2200771	14041083
1355	2202439	14039738
1356	2204208	14039035
1357	2205761	14036961
1358	2207440	14035682
1359	2209062	14034041
1360	2210903	14033793
1361	2212993	14035120
1362	2214725	14034180
1363	2216221	14031737
1364	2218049	14031399
1365	2219604	14029329
1366	2221291	14028095
1367	2223039	14027251
1368	2224744	14026126
1369	2226674	14026424
1370	2228425	14025592
1371	2229979	14023518
1372	2232129	14025188
1373	2233835	14024063
1374	2235575	14023156
1375	2237469	14023207
1376	2239233	14022447
1377	2240804	14020473
1378	2242609	14019965
1379	2244554	14020335
1380	2246268	14019253
1381	2247952	14017983
1382	2249752	14017438
1383	2251072	14013899
1384	2253832	14019323
1385	2255407	14017371
1386	2256882	14014801
1387	2258422	14012630
1388	2259865	14009866
1389	2262053	14011710
1390	2264071	14012503
1391	2265683	14010780
1392	2267288	14009007
1393	2268637	14005665
1394	2270370	14004685
1395	2272006	14003113
1396	2273784	14002411
1397	2276848	14009624
1398	2278709	14009422
1399	2280418	14008284
1400	2282015	14006461
1401	2283752	14005492
1402	2285546	14004876
1403	2287286	14003929
1404	2288894	14002171
1405	2290414	13999872
1406	2292098	13998580
1407	2293627	13996340
1408	2295386	13995505
1409	2297409	13996274
1410	2300112	14001178
1411	2301952	14000829
1412	2304211	14003016
1413	2306024	14002492
1414	2307977	14002816
1415	2310201	14004778
1416	2312206	14005411
